 RU IT AL GT ST TT S A 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
41 13 1 1 12.701601 6.754554 19.870354 53 53 5.317129199999954 0.3900606999999354 0.4098170000000323 0.44180979999998726 0.4297821999999769 0.4373257000000308 0.4532428999999638 0.4693345000000022 0.4751637999999616 0.5310636999999474 0.5418879000000061 0.5561184000000026 0.6355552999999645 0.6542441000000281 0.6022401999999829 1.198195499999997 0.7902342999999519 0.9294443000000001 1.5514426000000299 1.241065400000025 1.381158399999947 0.0 0.0
42 14 1 3 0.819024 0.649033 1.509259 18 18 0.04424940000001243 0.03404790000001867 0.03521019999999453 0.038834399999984726 0.039452200000027915 0.04266810000001442 0.04436640000000125 0.0466930999999704 0.046781399999986206 0.04895249999998441 0.052444699999966815 0.05742459999999028 0.06682700000004616 0.08202329999994618 0.11990099999997028 0.19116449999995666 0.2874707000000285 0.17152529999998478 0.0 0.0 0.0 0.0 0.0
43 14 1 2 1.981427 1.573783 3.687731 34 34 0.8528406000000359 0.08659630000005336 0.08600329999995893 0.09470999999996366 0.09681189999997741 0.10128369999995357 0.09361330000001544 0.1059596000000056 0.11287539999995033 0.11791980000003832 0.13794919999998 0.13669019999997545 0.20058979999998883 0.19612740000002304 0.21787950000003775 0.2939756000000102 0.3090095999999676 0.29741250000006403 0.0 0.0 0.0 0.0 0.0
44 14 1 1 13.779268 7.782231 22.012635 55 55 5.263519900000006 0.41166120000002593 0.40302430000002687 0.4152936000000409 0.4311678999999913 0.43170830000002525 0.4821314000000143 0.48127170000003616 0.4788770000000113 0.4906695000000241 0.4902693999999883 0.523222799999985 0.5154121000000487 0.7152900000000386 0.6444912000000045 0.7239311999999813 0.7584717999999953 0.7911277999999697 0.8836002000000462 1.1629614999999376 1.415858299999968 2.629909899999973 0.9977072000000362
45 15 1 3 0.848932 0.685544 1.578274 18 18 0.04776119999991124 0.034689999999955035 0.05364409999998543 0.04246840000001839 0.040249500000015814 0.042536900000015976 0.045132400000056805 0.049164200000006986 0.04875019999997221 0.050768699999991895 0.05742209999999659 0.06636819999999943 0.07224680000001626 0.09090979999996307 0.12016299999999092 0.18581089999992173 0.2818965000000162 0.187862999999993 0.0 0.0 0.0 0.0 0.0
46 15 1 2 2.009067 1.283555 3.420894 34 34 0.8595644999999763 0.08976259999997183 0.08597730000002457 0.09448889999998755 0.10326489999994237 0.09785950000002686 0.09585899999996172 0.09617520000000468 0.11331159999997453 0.10728460000001405 0.12699340000000348 0.1305118999999877 0.15754770000000917 0.18480729999993173 0.19388850000001412 0.23366390000001047 0.2284574000000248 0.27567200000004277 0.0 0.0 0.0 0.0 0.0
47 15 1 1 13.622595 11.779451 25.880373 55 55 5.304738599999951 0.39131029999998646 0.4062359999999785 0.4212016999999264 0.420452599999976 0.4498249999999757 0.48937989999996034 0.4451692000000662 0.4699796000000447 0.4630301999999915 0.49425989999997455 0.5188042000000337 0.5216861000000108 0.5557878999999843 0.6349601000000007 0.8496329999999261 0.7192852999999673 0.9284121000000027 0.984617500000013 1.500196800000026 2.5039939999999206 3.344544799999994 2.5645651999999473
48 16 1 3 0.819354 0.717162 1.579564 18 18 0.04479160000005322 0.03688329999999951 0.03460199999994984 0.03940399999987676 0.0400664000001143 0.04190399999993133 0.044561499999986154 0.046859899999844856 0.04822079999996731 0.05147409999995034 0.052369300000123076 0.06056469999998626 0.06770890000007057 0.08740469999997913 0.10811639999997169 0.20303259999991496 0.33068149999996876 0.18131240000002435 0.0 0.0 0.0 0.0 0.0
49 16 1 2 2.022067 1.284155 3.439263 34 34 0.8641857000000073 0.08413229999996474 0.08502239999995709 0.09337879999998222 0.09855310000000372 0.09870730000000094 0.09324760000004062 0.10523259999990842 0.12250430000005963 0.10935040000003937 0.12817259999997077 0.15607460000001083 0.16344080000010308 0.22169350000001486 0.18043600000009974 0.17398279999997612 0.23520379999990837 0.27536300000008396 0.0 0.0 0.0 0.0 0.0
50 16 1 1 12.638569 7.933692 20.982989 53 53 5.3060826999999335 0.3919852000000219 0.4025468999999475 0.42559749999986707 0.5256266999998616 0.46669059999999263 0.49649090000002616 0.6388799999999719 0.7328280000000404 0.8262361000000737 0.6503494999999475 0.5860255000000052 0.6199103999999807 0.9066546000000244 0.5820092999998678 0.8064836999999443 0.9662948000000142 0.8631118999999217 0.8988680999999588 1.316154999999867 2.1440509999999904 0.0 0.0
51 17 1 3 0.832713 0.726189 1.602098 18 18 0.045187799999894196 0.0339681999998902 0.035813099999927545 0.04410219999999754 0.04232019999994918 0.045757100000059836 0.04500970000015059 0.0461860999999999 0.04840779999994993 0.051003099999888946 0.05427290000011453 0.060072800000057214 0.0687994999999546 0.09241359999998622 0.1062150999999858 0.1539864999999736 0.25478479999992487 0.3148914999999306 0.0 0.0 0.0 0.0 0.0
52 17 1 2 1.996325 1.61034 3.741769 34 34 0.8604492999999138 0.08600820000015119 0.08667960000002495 0.09739649999994526 0.09643020000009983 0.11240539999994326 0.10296439999990525 0.12197790000004716 0.12509539999996377 0.12065940000002229 0.13219170000002123 0.16135250000002088 0.21816880000005767 0.21104840000009517 0.2420659000000569 0.24375770000006014 0.2862527999999429 0.2844961000000694 0.0 0.0 0.0 0.0 0.0
53 17 1 1 12.654806 10.72914 23.800559 53 53 5.3059328000000505 0.388471099999947 0.4014988000001267 0.42918429999997443 0.4260167000001047 0.48576279999997496 0.5030081999999538 0.44989139999995587 0.4615810999999894 0.5374961999998504 0.5941387000000304 0.6019966000000068 0.8580289000000221 0.9209577999998828 0.6071518999999626 1.3824317999999494 0.9352514000000838 0.9307978000000503 2.077828899999986 2.3962571000000707 2.6706953999999996 0.0 0.0
54 18 1 3 0.82924 0.601831 1.473798 18 18 0.044464899999979934 0.034580800000071577 0.03714639999998326 0.03935949999993227 0.03974530000004961 0.04238660000009986 0.044529099999977007 0.04585020000001805 0.04663800000002993 0.04967460000000301 0.05534230000000662 0.06045839999990221 0.07332180000003063 0.08757739999998648 0.10974510000005466 0.1975373000000218 0.27717250000000604 0.12928450000003977 0.0 0.0 0.0 0.0 0.0
55 18 1 2 1.997189 1.644671 3.778094 34 34 0.8623410999999805 0.08580419999998412 0.08681520000004639 0.09289080000007743 0.10011670000005779 0.09714600000006612 0.09439350000013746 0.10344840000004751 0.11827980000009575 0.11661870000011731 0.13814960000001975 0.15373590000001514 0.18185559999994894 0.20462059999999838 0.2603064000001041 0.29533820000006017 0.3622351000000208 0.2709385000000566 0.0 0.0 0.0 0.0 0.0
56 18 1 1 13.706683 18.025636 32.220959 55 55 5.305475999999999 0.40584759999990183 0.4054160000000593 0.4151421000000255 0.42001029999994444 0.4818836999999121 0.461162800000011 0.45478769999999713 0.47897520000003624 0.5223683000000392 0.5132903999999598 0.5559413999999379 0.6519988999999669 0.8202861000000894 0.7491143999999395 0.8389447000001837 0.9163645000000997 1.1218161000000464 2.3521612999999206 2.4121540000001005 4.03579650000006 3.7581837999999834 3.6348368000000164
57 19 1 3 0.816885 0.569356 1.428793 18 18 0.0438186000000087 0.03398830000003272 0.03615760000013779 0.039020899999968606 0.039239199999997254 0.04182499999990341 0.044623399999977664 0.04522450000013123 0.04864630000008674 0.05114220000007208 0.051360699999918324 0.059538799999927505 0.06689440000002378 0.08425979999992705 0.10253439999996772 0.175571800000057 0.23804859999995642 0.16760019999992437 0.0 0.0 0.0 0.0 0.0
58 19 1 2 1.991853 1.403436 3.52943 34 34 0.8562518999999611 0.08372890000009647 0.09456569999997555 0.10161140000002433 0.09838830000001053 0.09805210000001807 0.09320040000000063 0.10416169999996328 0.11718810000002122 0.12035400000002028 0.14117970000006608 0.15799719999995432 0.15941610000004403 0.1896603000001278 0.21046589999991738 0.20874730000002728 0.27203020000001743 0.27145099999995637 0.0 0.0 0.0 0.0 0.0
59 19 1 1 12.714041 8.250604 21.370076 53 53 5.307355400000006 0.39443930000004457 0.4053248000000167 0.43023070000003827 0.42388499999992746 0.4557345999999143 0.44961909999994987 0.4695842999999513 0.47185849999993934 0.46640309999997953 0.4899629999999888 0.5362493999999742 0.6332765000000791 0.7175721000000976 0.7603670999999395 0.8749095999999099 0.7833442000001014 0.8070553999999674 1.4499784999999292 2.220324899999923 2.3962223000000904 0.0 0.0
