[04-02-2022_21-14-36] INFO :: Experiment >> 

          ========================================          
                    Experimental Results                    
          ========================================          

               ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~               
                     Concatenated Plans                     

 RU  AL  LE  AC  CF       GT       ST       OT        TT        LT        CT       WT         RSS         VMS  QL_SCORE  LT_SCORE  CT_SCORE  AW_SCORE  AME_SCORE  LT_GRADE  CT_GRADE  AW_GRADE  AME_GRADE    GRADE
 26   1  69  69 1.0 6.976763 1.474478 0.027715  8.478956 10.030025 17.464136 2.216663  697.019531  689.875000  0.971014  0.760291  0.653123       1.0        1.0  0.738253  0.634192  0.971014   0.971014 0.893427
 27   3  20  20 1.0 1.134225 0.817710 0.000000  1.951935  1.951935  1.951935 1.951935  689.921875  681.320312  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 27   2  44  44 1.0 3.527015 1.567497 0.014877  5.109389  4.828844  7.061324 3.545174  711.402344  703.378906  0.954545  1.000000  0.850732       1.0        1.0  0.954545  0.812062  0.954545   0.954545 0.954545
 27   1  71  71 1.0 7.023745 1.803083 0.028606  8.855434  6.694479 15.916758 2.023427  706.105469  697.742188  0.943662  0.867761  0.669411       1.0        1.0  0.818873  0.631697  0.943662   0.943662 0.902066
 28   3  20  20 1.0 1.126872 0.828531 0.000000  1.955402  1.955402  1.955402 1.955402  702.765625  693.890625  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 28   2  44  44 1.0 3.487609 1.711750 0.015553  5.214913  4.906022  7.170315 3.599699  723.714844  718.179688  0.954545  1.000000  0.846064       1.0        1.0  0.954545  0.807607  0.954545   0.954545 0.954545
 28   1  71  71 1.0 6.989685 1.726942 0.028821  8.745449  6.751032 15.915763 2.023195  715.464844  706.765625  0.943662  0.864990  0.669422       1.0        1.0  0.816258  0.631708  0.943662   0.943662 0.901194
 29   3  20  20 1.0 1.131212 0.695902 0.000000  1.827114  1.827114  1.827114 1.827114  715.574219  706.714844  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 29   2  44  44 1.0 3.489965 1.733189 0.015641  5.238795  4.292172  7.065909 3.547049  740.609375  735.125000  0.954545  1.000000  0.850532       1.0        1.0  0.954545  0.811871  0.954545   0.954545 0.954545
 29   1  73  73 1.0 7.184009 1.221430 0.028931  8.434370  6.113894 15.500278 1.971386  732.007812  723.316406  0.917808  0.900136  0.674157       1.0        1.0  0.826153  0.618747  0.917808   0.917808 0.887256
 30   3  20  20 1.0 1.134417 0.767058 0.000000  1.901476  1.901476  1.901476 1.901476  730.679688  721.843750  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 30   2  44  44 1.0 3.492305 1.159282 0.015439  4.667026  4.399547  6.568501 3.298479  757.425781  752.351562  0.954545  1.000000  0.874149       1.0        1.0  0.954545  0.834415  0.954545   0.954545 0.954545
 30   1  73  73 1.0 7.186371 1.240230 0.029523  8.456124  6.241355 15.024625 1.979206  747.636719  738.921875  0.917808  0.892325  0.679792       1.0        1.0  0.818983  0.623919  0.917808   0.917808 0.884867
 31   3  20  20 1.0 1.140960 0.716430 0.000000  1.857390  1.857390  1.857390 1.857390  747.613281  738.808594  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 31   2  42  42 1.0 3.319632 1.658110 0.015519  4.993261  5.195251  6.850651 3.439662  769.871094  762.628906  1.000000  0.976205  0.860244       1.0        1.0  0.976205  0.860244  1.000000   1.000000 0.992068
 31   1  69  69 1.0 6.812408 1.205045 0.028741  8.046195  7.059005 14.896846 1.895868  762.597656  753.957031  0.971014  0.850833  0.681347       1.0        1.0  0.826171  0.661598  0.971014   0.971014 0.922733
 32   3  20  20 1.0 1.139714 0.816536 0.000000  1.956251  1.956251  1.956251 1.956251  761.230469  752.347656  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 32   2  44  44 1.0 3.503043 1.730919 0.015554  5.249516  4.375133  7.205766 3.617087  782.968750  778.144531  0.954545  1.000000  0.844581       1.0        1.0  0.954545  0.806191  0.954545   0.954545 0.954545
