bound_type   cumt cumt cumt cumt cumt cumt cumt cumt sl sl sl sl sl sl sl sl
   "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation"
problem AL PN                
ps3ts 2.0 6.0 0.5896588499998074 6.771952000000454   3.0 6.0 1.7083333333333335 0.5773502691896257 0.4339596000000938 6.564056100000698   3.0 4.0 1.333333333333333 0.3779644730092272
ps3ts 2.0 7.0 0.5924425999998988 7.181886650001275   4.0 6.0 1.333333333333333 0.5477225575051661 0.3556453000001056 6.562761700000692   3.0 4.0 1.333333333333333 0.0
ps3ts 2.0 8.0 0.5144583999999099 7.684137999999734   4.0 6.0 1.333333333333333 0.5 0.34843254999992723 6.365174700000267   2.0 4.0 1.775 0.0
ps3ts 2.0 9.0 0.436354499999652 8.231563300002108   3.0 5.0 1.5 0.5773502691896257 0.3515104499999069 6.581743699999485   3.0 4.0 1.5 0.0
ps3ts 2.0 10.0 0.357042999999976 8.765165500000592   2.0 4.0 1.5 0.7071067811865476 0.3531178000001773 6.896873699998878   2.0 4.0 1.333333333333333 0.0
ps3ts 2.0 11.0         0.3529008999994403 7.252295399999184   3.0 4.0 1.333333333333333 0.5773502691896257
ps3ts 2.0 12.0         0.34852474999979677 7.66901075000041   2.0 3.0 1.5 0.5773502691896257
ps3ts 2.0 13.0         0.4264178000001664 8.076689299999828   2.0 5.0 2.4166666666666665 0.7071067811865476
ps3ts 2.0 14.0         0.345048399999996 8.228523099998483   2.0 4.0 2.0 0.0
ps3ts 2.0 15.0         0.347333400000025 8.575856499998508   2.0 4.0 2.0 0.0
ps3ts 3.0 1.0 2.2908427000003826 2.2908427000003826   9.0 15.0 1.545454545454545 0.9511897312113419 1.7111034999999575 1.7111034999999575   7.0 11.0 1.4 0.8944271909999159
ps3ts 3.0 2.0 0.5489979000000176 2.800057900000866   3.0 7.0 2.25 0.816496580927726 0.7258667500000229 2.5099476000006575   4.0 9.0 2.0 0.8944271909999159
ps3ts 3.0 3.0 0.620785200000114 2.56422344999983   4.0 8.0 2.25 0.816496580927726 0.45303555000000273 2.4582061999997222   3.0 6.0 2.333333333333333 0.5773502691896257
ps3ts 3.0 4.0 0.45031555000031176 3.217832500000327   2.0 6.0 2.5 0.5773502691896257 0.38867029999988745 2.1896322000003465   3.0 5.0 2.333333333333333 0.5773502691896257
ps3ts 3.0 5.0         0.4543029000005845 2.57062300000041   2.0 6.0 2.333333333333333 0.7071067811865476
ps3ts 3.0 6.0         0.49502814999993916 2.9566774000003875   2.0 6.0 2.5 0.8322669444714428
ps3ts 4.0 1.0 0.7047491000001287 0.7047491000001287   1.0 13.0 1.0 0.0 0.7100087000001167 0.7100087000001167   1.0 13.0 1.0 0.0
